Common,Binomial,adult_mass_g,adult_body_length_mm,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,Fruit_percent,Dicot_percent,Monocot_percent,Variable,Digestion,social_group_n,
Addax,Addax.nasomaculatus,94289,1700,0,0,0,0,0,0,0,0,0,100,1,2.5,17.5,80,Yes,Ruminant,12.62,
Impala,Aepyceros.melampus,52500,1460,0,0,0,0,0,0,0,0,0,100,1,10,45,45,Yes,Ruminant,15.25,
Hartebeest,Alcelaphus.buselaphus,159939,2152,0,0,0,0,0,0,0,0,0,100,1,5,20,75,Yes,Ruminant,15,
Dibatag,Ammodorcas.clarkei,28275,1340,0,0,0,0,0,0,0,0,0,100,1,10,80,10,No,Ruminant,NA,
Aoudad,Ammotragus.lervia,92500,1550,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,NA,Ruminant,NA,
Springbox,Antidorcas.marsupialis,33571,1228,0,0,0,0,0,0,0,0,0,100,1,1.5,66,32.5,Yes,Ruminant,NA,
Hirola,Beatragus.hunteri,119000,1700,0,0,0,0,0,0,0,0,0,100,1,0,3,97,No,Ruminant,13.5,
Nubian ibex,Capra.nubiana,70523,1700,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,NA,Ruminant,NA,
Walia ibex,Capra.walie,80000,1700,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,NA,Ruminant,NA,
Aders's duiker ,Cephalophus.adersi,10000,786,0,10,0,0,0,0,30,0,0,60,2,82.5,15,2.5,No,Ruminant,NA,
Peter's duiker,Cephalophus.callipygus,19079,1014,0,10,0,0,0,0,30,0,0,60,2,83,15,2,No,Ruminant,NA,
Bay duiker,Cephalophus.dorsalis,11600,850,0,10,0,0,0,0,30,0,0,60,2,73,27,0,No,Ruminant,1,
Harvey's duiker,Cephalophus.harveyi,14500,786,0,10,0,0,0,0,30,0,0,60,2,79,20,1,No,Ruminant,2,
Jentink's duiker ,Cephalophus.jentinki,69245,1350,0,10,0,0,0,0,30,0,0,60,2,78,21,0,No,Ruminant,NA,
White-bellied duiker ,Cephalophus.leucogaster,12954,939,0,10,0,0,0,0,30,0,0,60,2,73,27,0,No,Ruminant,NA,
Red forest duiker ,Cephalophus.natalensis,10000,786,0,10,0,0,0,0,30,0,0,60,2,79,20,1,No,Ruminant,2,
Black duiker,Cephalophus.niger,18100,1042,0,10,0,0,0,0,30,0,0,60,2,78,21,1,No,Ruminant,NA,
Black-fronted duiker,Cephalophus.nigrifrons,13900,944,0,10,0,0,0,0,30,0,0,60,2,72,28,0,No,Ruminant,NA,
Ogilby's duiker ,Cephalophus.ogilbyi,19193,1000,0,5,0,0,0,0,25,0,10,60,3,78,21,1,No,Ruminant,NA,
Red-flanked duiker ,Cephalophus.rufilatus,12500,650,0,10,0,0,0,0,30,0,0,60,2,78,21,1,No,Ruminant,1,
Yellow-backed duiker,Cephalophus.silvicultor,62007,1612,0,10,0,0,0,0,30,0,0,60,2,71,28,1,No,Ruminant,1,
Abbott's duiker,Cephalophus.spadix,56857,1174,0,10,0,0,0,0,30,0,0,60,2,71,28,1,No,Ruminant,NA,
Weyns's duiker ,Cephalophus.weynsi,10000,786,0,10,0,0,0,0,30,0,0,60,2,78,21,1,No,Ruminant,NA,
Zebra duiker,Cephalophus.zebra,15655,875,0,10,0,0,0,0,30,0,0,60,2,78,21,1,No,Ruminant,NA,
White rhinoceros,Ceratotherium.simum,2230000,3393,0,0,0,0,0,0,5,0,0,95,1,NA,NA,NA,NA,Monogastric,,
Red deer,Cervus.elaphus,160167,2137,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,NA,Ruminant,17.5,
Pygmy hippopotamus,Choeropsis.liberiensis,215000,1675,0,0,0,0,0,0,10,0,0,90,1,40,40,20,No,Pseudoruminant,1.25,
Black wildebeest,Connochaetes.gnou,132250,2111,0,0,0,0,0,0,0,0,0,100,1,1,18,81,Yes,Ruminant,26.75,
Blue wildebeest ,Connochaetes.taurinus,180500,2207,0,0,0,0,0,0,0,0,0,100,1,0.5,12,87.5,Yes,Ruminant,20,
Common tsessebe,Damaliscus.lunatus,118799,1875,0,0,0,0,0,0,0,0,0,100,1,0,5,95,No,Ruminant,3.6,
Bontebok ,Damaliscus.pygargus,84500,1500,0,0,0,0,0,0,0,0,0,100,1,0,10,90,Yes,Ruminant,NA,
